sku,product_name,description,category,subcategory,brand,unit_cost,unit_price,weight_kg,length_cm,width_cm,height_cm,is_hazmat,is_perishable,reorder_point,reorder_qty,lead_time_days,_ingested_at
SKU-00254,Horizontal systematic encoding,Age debate wall wear realize stage imagine half single.,Office Supplies,Change,Long-Cook,347.58,1041.84,47.23,106.4,22.9,3.9,False,False,18,648,15,2026-04-30T04:36:50.726872
SKU-00255,Reverse-engineered composite success,Prove face always alone thing push center national professional beat project help admit beat.,Apparel,Agent,"Cannon,",79.25,161.2,9.7,28.7,5.5,11.7,False,True,105,977,42,2026-04-30T04:36:50.726872
SKU-00256,Proactive bifurcated initiative,Role these receive cup doctor together suddenly travel high require.,Office Supplies,There,Cain,362.7,1149.9,3.06,76.1,59.7,59.4,False,False,184,969,3,2026-04-30T04:36:50.726872
SKU-00257,Centralized analyzing success,Operation money organization doctor network minute road.,Automotive,Table,Nash-Schmidt,102.88,263.07,40.68,98.0,26.4,47.4,False,False,72,247,11,2026-04-30T04:36:50.726872
SKU-00258,Balanced context-sensitive moderator,From weight ask myself wall series person anything science any.,Food & Beverage,Everybody,"Walker,",133.6,285.47,8.24,54.1,5.5,33.2,False,False,147,710,15,2026-04-30T04:36:50.726872
SKU-00259,Fully-configurable zero administration instruction set,Color trouble agent small bank world purpose investment at table tend occur sister.,Industrial,Wall,"Jarvis,",56.42,166.07,4.61,106.2,9.3,47.2,False,False,166,665,40,2026-04-30T04:36:50.726872
SKU-00260,Monitored transitional definition,Year tell because woman race water purpose score.,Electronics,Across,"Reynolds,",61.55,93.27,12.21,62.1,19.9,29.9,False,False,50,117,1,2026-04-30T04:36:50.726872
SKU-00261,Secured motivating frame,Behind once by final project paper listen impact tell.,Furniture,Raise,Todd,173.69,519.94,13.48,15.7,20.2,28.0,False,False,160,185,12,2026-04-30T04:36:50.726872
SKU-00262,Open-architected mobile interface,Real better manager huge today probably my when important door name town project agency.,Hardware,Shoulder,"Sanders,",178.89,506.57,5.08,47.8,59.2,9.4,False,False,131,376,10,2026-04-30T04:36:50.726872
SKU-00263,Persevering impactful conglomeration,City interesting itself method reality action recognize crime poor beat house stage college nearly political put.,Sporting Goods,Send,"Ponce,",301.0,802.62,19.99,49.1,72.3,10.2,True,False,40,509,15,2026-04-30T04:36:50.726872
SKU-00264,Reduced disintermediate workforce,Not blood food performance lose charge follow owner many fast near could.,Furniture,Onto,Moyer-Patel,13.36,34.53,33.03,106.1,72.7,20.3,False,True,52,772,7,2026-04-30T04:36:50.726872
SKU-00265,Intuitive 4thgeneration archive,By kid throughout sit form necessary country attorney statement opportunity we.,Food & Beverage,He,Bell-Davis,29.66,94.47,17.8,41.5,25.3,43.7,False,False,36,356,16,2026-04-30T04:36:50.726872
SKU-00266,Public-key leadingedge artificial intelligence,Success final investment argue prepare similar above owner.,Electronics,Everybody,Wheeler-Little,300.29,724.96,22.14,110.5,39.6,10.1,False,False,105,759,17,2026-04-30T04:36:50.726872
SKU-00267,Programmable local open architecture,Glass leg anyone do admit center cultural but room change plant as medical structure.,Apparel,Also,Hill-Duncan,387.2,1329.72,25.14,32.2,66.4,38.4,False,False,148,860,8,2026-04-30T04:36:50.726872
SKU-00268,Ameliorated impactful protocol,General yet class surface impact decision budget night his though add weight police after carry energy.,Electronics,Consider,Curtis-Henderson,266.43,514.38,27.18,61.7,37.4,38.8,False,False,63,951,16,2026-04-30T04:36:50.726872
SKU-00269,Fundamental tangible workforce,Later dream war same explain agent speak manager site begin politics everyone hospital professional our.,Furniture,Wear,Gregory-Odonnell,341.26,879.27,27.95,45.7,31.8,37.8,False,False,193,605,43,2026-04-30T04:36:50.726872
SKU-00270,Function-based actuating success,Myself manage decade position education head effort right exactly pretty to window.,Automotive,Recognize,Gomez-Sawyer,131.49,245.7,44.18,43.4,42.8,47.5,False,False,199,604,11,2026-04-30T04:36:50.726872
SKU-00271,Exclusive static synergy,Media skill no task product unit pressure war picture take story.,Office Supplies,Direction,Irwin-Gallegos,437.74,1236.09,35.56,59.9,35.3,12.0,False,False,133,178,43,2026-04-30T04:36:50.726872
SKU-00272,Programmable foreground encoding,Ahead production leave half likely under too fact city.,Apparel,Usually,"Ortiz,",263.65,544.55,46.21,104.2,52.8,20.5,False,False,110,222,36,2026-04-30T04:36:50.726872
SKU-00273,Switchable solution-oriented extranet,During wish issue others front movie green shake so five arrive.,Apparel,Set,Carlson,72.82,233.5,0.53,17.2,18.8,44.3,False,False,53,825,20,2026-04-30T04:36:50.726872
SKU-00274,Future-proofed impactful Local Area Network,Run account leader exactly truth serve serve note recent.,Sporting Goods,Likely,Melendez,202.08,439.56,29.49,34.0,18.5,2.7,False,False,51,301,18,2026-04-30T04:36:50.726872
SKU-00275,Digitized optimizing functionalities,Play two project wide above no agreement instead friend year body.,Furniture,American,"Anderson,",40.6,103.13,29.74,95.6,50.4,40.0,False,False,123,90,9,2026-04-30T04:36:50.726872
SKU-00276,Mandatory 3rdgeneration protocol,Where behind decide dinner ask training others sign rather.,Electronics,Return,Holloway,185.34,341.05,41.57,44.4,67.9,57.8,False,False,27,538,19,2026-04-30T04:36:50.726872
SKU-00277,Secured well-modulated groupware,Bad return town born dream good ahead year cold group.,Electronics,Value,Montoya-Hernandez,291.69,835.3,30.76,10.7,62.0,35.3,False,False,147,684,12,2026-04-30T04:36:50.726872
SKU-00278,Optional systematic implementation,South gas reality model many more network quality give.,Industrial,Guess,Green,61.81,193.58,4.77,114.2,21.7,51.4,False,False,15,591,10,2026-04-30T04:36:50.726872
SKU-00279,Balanced real-time product,Once food bad program type general group sense.,Electronics,Discussion,"Chavez,",208.44,410.8,14.12,17.8,56.4,26.2,False,False,121,941,9,2026-04-30T04:36:50.726872
SKU-00280,Devolved methodical contingency,Suddenly indeed customer kind history young cell beautiful fish little white rest several section set.,Food & Beverage,Even,Thompson,176.83,503.01,35.69,45.7,6.1,20.9,False,False,118,142,29,2026-04-30T04:36:50.726872
SKU-00281,Assimilated multimedia extranet,Budget wish pretty hot add perform arrive number base strategy drive so dog peace from.,Apparel,Back,Garner-Everett,372.03,1182.73,33.7,28.6,70.1,13.5,False,True,168,315,19,2026-04-30T04:36:50.726872
SKU-00282,Integrated full-range alliance,Return start music truth by quality rich key quality beyond community set.,Automotive,Fast,Carey,321.08,617.84,46.94,87.3,34.2,18.0,False,False,60,520,12,2026-04-30T04:36:50.726872
SKU-00283,Realigned multi-tasking alliance,Maybe sure bed factor charge certainly part drug fear animal quickly.,Automotive,On,Floyd,209.57,508.74,23.88,53.3,73.9,3.8,False,False,74,668,19,2026-04-30T04:36:50.726872
SKU-00284,Customer-focused dynamic extranet,Likely short kid level paper ask responsibility fall agency.,Electronics,Feeling,"Green,",82.26,254.37,44.01,98.0,40.5,51.8,False,False,15,138,32,2026-04-30T04:36:50.726872
SKU-00285,Triple-buffered dedicated project,Eat third head trip be although president church wonder low budget.,Furniture,Quality,Flores,279.45,468.01,15.06,26.0,71.2,18.6,False,False,78,129,32,2026-04-30T04:36:50.726872
SKU-00286,Digitized systemic paradigm,We very painting hope site fund ask later.,Industrial,Tough,Hicks,76.95,155.98,39.07,96.6,42.6,24.5,False,False,12,219,23,2026-04-30T04:36:50.726872
SKU-00287,Digitized systemic pricing structure,Season room major star choose better near however.,Sporting Goods,We,Buchanan,393.55,819.32,11.35,101.8,15.3,34.4,False,False,54,252,34,2026-04-30T04:36:50.726872
SKU-00288,Extended systematic knowledgebase,Sing box agree carry message later a poor get organization peace rock health.,Industrial,Debate,King,196.09,273.01,0.7,115.1,49.7,15.2,False,False,90,543,18,2026-04-30T04:36:50.726872
SKU-00289,Business-focused 24/7 workforce,Accept simply help southern during manager party thought seat.,Automotive,Force,"Reed,",79.71,229.86,11.8,94.7,50.3,50.4,False,False,132,596,5,2026-04-30T04:36:50.726872
SKU-00290,Profit-focused impactful knowledge user,Another possible answer across sit small event range learn girl personal movie rich.,Automotive,Education,Weaver-Davis,118.94,162.03,24.49,79.5,35.8,7.4,False,False,143,318,18,2026-04-30T04:36:50.726872
SKU-00291,Compatible dynamic neural-net,Land author the finish during exactly art nation civil.,Electronics,Able,Young,96.71,207.1,18.82,67.4,38.9,39.8,False,False,75,967,27,2026-04-30T04:36:50.726872
SKU-00292,Reactive composite hierarchy,Community side science rate baby sell hit business sister in.,Apparel,Just,Young,382.31,1062.34,19.45,31.9,46.5,48.9,False,True,178,354,45,2026-04-30T04:36:50.726872
SKU-00293,Synergistic static software,Possible reduce wrong scene outside letter member relationship.,Office Supplies,Raise,Patterson-Lopez,40.58,125.27,37.35,70.7,75.4,10.7,False,False,157,913,8,2026-04-30T04:36:50.726872
SKU-00294,Balanced 3rdgeneration help-desk,Ball recognize between anyone listen across box drop night.,Sporting Goods,Try,Bauer,6.48,12.59,2.15,57.3,68.1,34.6,True,False,103,471,28,2026-04-30T04:36:50.726872
SKU-00295,Public-key real-time Graphic Interface,Congress learn more ball body sit send performance.,Electronics,Success,"Torres,",16.42,28.94,12.47,35.7,36.9,31.5,False,False,175,500,43,2026-04-30T04:36:50.726872
SKU-00296,Robust methodical circuit,House full state outside law material door land range break sense may indeed center international once.,Automotive,Institution,Taylor,96.13,222.04,39.59,109.0,46.1,9.9,False,False,131,983,37,2026-04-30T04:36:50.726872
SKU-00297,Virtual homogeneous time-frame,Name vote head manager learn crime suffer modern section statement another role design.,Hardware,Reality,"Juarez,",289.6,762.28,38.58,57.0,53.5,27.0,False,False,183,662,3,2026-04-30T04:36:50.726872
SKU-00298,Cloned exuding framework,Though compare interest road a week book south indicate benefit fear phone bill.,Food & Beverage,Cultural,Dixon-Rodriguez,175.16,444.63,10.3,83.2,17.7,31.9,False,False,133,459,2,2026-04-30T04:36:50.726872
SKU-00299,Object-based national support,Debate type energy agree economic finish much north or total until describe necessary.,Office Supplies,State,Smith,334.24,1018.54,31.92,102.5,68.3,38.9,False,False,40,761,30,2026-04-30T04:36:50.726872
SKU-00300,Quality-focused directional matrix,Turn direction rock real bad general wish section certain western write order product cold various himself.,Sporting Goods,Piece,Ramirez,27.82,61.23,35.04,13.9,69.8,41.6,False,False,62,241,4,2026-04-30T04:36:50.726872
SKU-00301,Fundamental actuating implementation,Often bank later campaign church look million after movie.,Automotive,Likely,"Silva,",343.5,1019.08,28.94,115.6,72.2,2.9,False,False,158,231,33,2026-04-30T04:36:50.726872
SKU-00302,Business-focused mission-critical groupware,Moment rock student minute edge office thus ok large outside firm upon care make.,Hardware,Bring,Payne-Ortiz,377.93,1044.61,28.38,66.7,17.0,9.0,False,False,62,841,15,2026-04-30T04:36:50.726872
SKU-00303,Managed intangible help-desk,Scene need movement bill wait whose item manage place range whatever religious image during year.,Medical,Decision,Jackson,209.45,609.39,46.11,66.4,66.7,19.9,False,False,84,211,2,2026-04-30T04:36:50.726872
SKU-00304,Multi-lateral heuristic knowledge user,Seat send billion others participant design trial medical become.,Furniture,Those,Fox,94.0,230.77,47.69,32.0,71.3,41.1,False,False,185,705,39,2026-04-30T04:36:50.726872
SKU-00305,Triple-buffered optimizing project,Thought apply most way recently box debate statement matter international management country raise commercial home sort.,Hardware,Rock,Fisher,312.01,588.18,38.78,75.2,36.4,3.6,False,False,167,398,35,2026-04-30T04:36:50.726872
SKU-00306,Front-line asynchronous leverage,Technology forget official senior animal ready strong drug pull over see he since me game inside.,Electronics,Tend,Frazier,198.48,412.38,49.81,66.0,76.9,17.8,False,False,81,724,16,2026-04-30T04:36:50.726872
SKU-00307,Reactive well-modulated capability,Loss everything run page child treat since throughout black.,Apparel,Table,Jones-Greene,365.56,1100.82,34.72,99.5,10.7,44.0,False,False,11,445,41,2026-04-30T04:36:50.726872
SKU-00308,User-centric contextually-based Graphic Interface,Thing at school wonder we effect management inside conference various standard yard religious image also.,Industrial,Safe,"Foster,",170.54,467.7,33.92,44.5,53.4,35.6,False,False,23,155,25,2026-04-30T04:36:50.726872
SKU-00309,Fundamental bandwidth-monitored database,Edge do finish design apply drug thus song our miss say simple perform practice investment.,Industrial,Recently,Cox-Kramer,293.25,948.84,29.09,88.1,15.6,51.3,False,False,61,509,3,2026-04-30T04:36:50.726872
SKU-00310,Public-key maximized challenge,Everyone role none see painting compare blue low simply could practice set behavior hundred ask theory.,Electronics,Dinner,"Ruiz,",52.83,177.41,48.87,52.4,27.4,27.9,False,True,171,602,3,2026-04-30T04:36:50.726872
SKU-00311,Polarized system-worthy challenge,Long difficult family action turn figure practice position same.,Hardware,You,Davis-Jensen,233.64,530.85,20.17,65.8,50.0,26.0,False,False,85,902,20,2026-04-30T04:36:50.726872
SKU-00312,Up-sized discrete workforce,In treatment continue doctor fine top behind name.,Office Supplies,Range,Roberts-Jackson,379.34,1116.25,1.61,102.8,39.3,31.9,False,False,154,238,42,2026-04-30T04:36:50.726872
SKU-00313,Virtual neutral flexibility,Protect property church evidence speak senior account over keep.,Industrial,Have,"Kline,",291.61,422.79,21.01,5.3,75.3,41.8,False,False,108,929,8,2026-04-30T04:36:50.726872
SKU-00314,Profound interactive protocol,Woman indicate ever partner office billion manager court.,Medical,Notice,"Mann,",78.41,169.67,6.71,69.1,44.8,50.8,False,False,24,700,12,2026-04-30T04:36:50.726872
SKU-00315,Intuitive fault-tolerant productivity,Feel foot behavior plant argue training condition team property.,Automotive,Term,Johnson,447.43,755.21,45.08,35.4,25.2,20.9,False,False,57,707,17,2026-04-30T04:36:50.726872
SKU-00316,Intuitive human-resource functionalities,Environment see order compare plant company lose represent item professional yourself outside simple now do Mr.,Sporting Goods,Better,"Wright,",151.3,420.77,43.76,108.5,11.1,2.6,False,False,178,196,20,2026-04-30T04:36:50.726872
SKU-00317,Quality-focused zero tolerance system engine,Participant administration perform discover soldier camera president teach family her.,Office Supplies,Report,Hunt,74.29,128.79,29.87,72.3,75.4,11.1,False,False,12,237,36,2026-04-30T04:36:50.726872
SKU-00318,Future-proofed incremental core,South purpose much discover draw decade he voice scene high.,Furniture,Weight,"King,",409.4,927.51,41.16,111.6,9.4,37.4,False,False,43,990,19,2026-04-30T04:36:50.726872
SKU-00319,Multi-lateral executive conglomeration,Eat no himself per card form again especially future strategy officer.,Office Supplies,Hand,Dickson,110.16,170.65,38.27,84.3,8.2,22.6,False,False,138,821,6,2026-04-30T04:36:50.726872
SKU-00320,Sharable multi-state workforce,Writer participant these TV such tend eat interview toward them instead force follow benefit technology if.,Medical,Another,Ellis-Lang,315.41,954.74,38.97,37.0,6.2,16.1,False,False,140,609,10,2026-04-30T04:36:50.726872
SKU-00321,Programmable dedicated ability,Seven sometimes future carry meet lay various.,Furniture,Feel,"Blair,",54.81,124.23,24.97,64.5,25.7,43.3,False,False,42,286,28,2026-04-30T04:36:50.726872
SKU-00322,Programmable intermediate Internet solution,Open particularly election administration red leader table politics the term item anything suffer perform.,Automotive,Whatever,Miller,18.74,57.44,30.26,76.9,44.7,18.5,False,False,89,630,32,2026-04-30T04:36:50.726872
SKU-00323,Progressive empowering utilization,Bill hot stop industry road a full myself measure want rather his product end.,Apparel,Very,"Vega,",435.55,676.63,2.62,34.5,50.4,24.4,False,False,168,181,1,2026-04-30T04:36:50.726872
SKU-00324,Multi-layered reciprocal productivity,Offer foreign third yeah everything service admit friend important tax office way machine.,Automotive,Foreign,Taylor,173.65,245.46,22.74,112.1,48.8,12.3,False,False,161,980,39,2026-04-30T04:36:50.726872
SKU-00325,User-friendly empowering conglomeration,Itself likely reflect onto tonight soon buy where such form woman radio drive food relationship.,Apparel,Military,Garner-Campos,296.3,762.37,36.89,96.0,60.1,16.4,False,False,132,935,26,2026-04-30T04:36:50.726872
SKU-00326,Innovative multimedia utilization,Pick set economic positive of serve imagine nice.,Medical,Area,"Cruz,",250.86,714.39,22.6,26.5,73.7,27.2,False,False,144,226,4,2026-04-30T04:36:50.726872
SKU-00327,Ameliorated uniform artificial intelligence,Show sure center near help four whom.,Industrial,Popular,"Clark,",236.18,770.95,40.67,16.0,20.0,32.6,False,False,31,208,9,2026-04-30T04:36:50.726872
SKU-00328,Profit-focused holistic circuit,Least model serve any democratic foreign chair war section democratic fight example pick election.,Electronics,Movie,"Gray,",182.0,229.31,3.42,39.2,53.9,40.2,False,False,167,791,5,2026-04-30T04:36:50.726872
SKU-00329,Customer-focused national archive,Cultural he quickly become research sea answer third study.,Industrial,Various,Turner-Delacruz,430.53,1256.15,33.1,103.1,70.3,44.4,False,False,40,67,14,2026-04-30T04:36:50.726872
SKU-00330,Persistent maximized interface,Push three hold wall know finish American pass travel.,Furniture,Who,"Freeman,",233.19,551.57,7.7,78.1,45.8,9.7,False,False,174,385,43,2026-04-30T04:36:50.726872
SKU-00331,Visionary holistic pricing structure,Range practice wait stuff require catch government couple seek skin there.,Apparel,True,Rivers,173.61,506.96,33.39,85.2,27.3,2.7,False,False,48,106,34,2026-04-30T04:36:50.726872
SKU-00332,Phased human-resource Local Area Network,Newspaper example enter change when lose level ball others go fear away senior.,Office Supplies,Space,Pearson,83.42,260.37,1.65,112.2,79.5,26.8,False,False,76,622,40,2026-04-30T04:36:50.726872
SKU-00333,Centralized regional parallelism,Small poor another surface school someone head ground.,Furniture,Move,Allen,181.2,609.81,41.38,67.7,78.0,49.4,False,False,112,596,9,2026-04-30T04:36:50.726872
SKU-00334,Up-sized empowering Graphical User Interface,Moment when four price half garden Congress customer quality walk.,Hardware,Law,Welch,395.89,916.95,18.29,77.2,5.2,37.7,False,False,120,635,22,2026-04-30T04:36:50.726872
SKU-00335,Virtual 24/7 alliance,Letter talk number bad art early film writer program station back.,Apparel,Plan,"Cannon,",440.21,1300.74,32.62,89.2,77.3,18.8,False,False,88,552,17,2026-04-30T04:36:50.726872
SKU-00336,Open-architected foreground artificial intelligence,Natural raise five Democrat which skin everybody interview.,Apparel,Forget,"Torres,",55.55,109.18,48.22,80.5,41.2,37.9,False,False,23,558,32,2026-04-30T04:36:50.726872
SKU-00337,Profound secondary task-force,Memory protect exactly left on hundred prepare site himself those remain administration health.,Apparel,Cell,Powell-Spence,223.9,316.79,49.53,45.2,21.9,7.0,False,False,21,200,45,2026-04-30T04:36:50.726872
SKU-00338,Reverse-engineered holistic adapter,Politics attack responsibility reduce reality about Congress region many traditional talk firm study quite perhaps.,Furniture,Knowledge,Melendez,151.09,441.86,29.23,88.1,49.3,31.9,False,False,58,355,12,2026-04-30T04:36:50.726872
SKU-00339,Function-based analyzing help-desk,Describe because home allow machine late during necessary.,Industrial,This,King,364.95,682.05,22.48,68.2,5.0,17.7,False,False,146,475,9,2026-04-30T04:36:50.726872
SKU-00340,User-centric motivating Graphical User Interface,End federal few campaign could paper example admit today.,Office Supplies,Tv,"Jackson,",348.85,1210.34,46.16,106.8,56.9,29.3,False,False,165,123,31,2026-04-30T04:36:50.726872
SKU-00341,Polarized secondary definition,Yeah Mr security record teacher including understand ten look believe bed data.,Sporting Goods,Hit,Wagner,284.0,900.28,48.75,15.3,57.1,57.7,False,False,98,130,18,2026-04-30T04:36:50.726872
SKU-00342,Advanced client-server help-desk,Hear environment war industry five spring glass week very simply half cold budget nearly foreign.,Food & Beverage,Under,"Roman,",159.23,547.13,1.95,98.6,46.9,22.5,True,False,199,130,7,2026-04-30T04:36:50.726872
SKU-00343,Innovative tertiary service-desk,True wife network heart guess million thought tend.,Medical,However,Reed-Oliver,145.45,267.09,35.94,76.2,55.2,16.4,False,False,22,712,32,2026-04-30T04:36:50.726872
SKU-00344,Extended national database,Onto find several occur natural respond American area.,Electronics,Deal,"Brown,",369.83,504.37,0.66,33.3,67.2,2.7,False,False,40,602,18,2026-04-30T04:36:50.726872
SKU-00345,Fundamental clear-thinking strategy,Word community trip bill part have leg subject within suggest subject save big as fire line.,Food & Beverage,Data,Davis-Miller,443.14,1156.36,39.44,67.8,18.4,48.6,True,False,107,453,11,2026-04-30T04:36:50.726872
SKU-00346,Up-sized impactful array,Economic forward political gun support weight fly although arrive film.,Electronics,Action,Alexander-Miller,345.58,617.46,18.65,99.4,46.6,41.7,False,False,200,71,43,2026-04-30T04:36:50.726872
SKU-00347,Universal bandwidth-monitored application,Yourself science guess near professional fine lead scientist remain down song for though build next wind.,Sporting Goods,Picture,"Garcia,",201.0,256.88,19.65,23.1,57.3,7.3,False,False,121,776,39,2026-04-30T04:36:50.726872
SKU-00348,Right-sized encompassing Graphical User Interface,Area fill bank peace safe bill information bit reason.,Food & Beverage,Idea,"James,",94.18,270.8,17.19,53.0,20.0,56.1,False,False,77,920,2,2026-04-30T04:36:50.726872
SKU-00349,Versatile tangible superstructure,Player civil economic son but movie individual me call reach plan material until I practice.,Sporting Goods,I,"Carroll,",227.16,743.95,38.13,101.6,41.6,31.3,False,False,20,660,11,2026-04-30T04:36:50.726872
SKU-00350,Progressive content-based product,Market son remain second action notice cause son plan view plant.,Hardware,Mind,Wolf,19.9,51.72,30.8,67.2,59.2,42.2,False,False,66,130,6,2026-04-30T04:36:50.726872
SKU-00351,Self-enabling logistical application,Citizen air whether produce tree environment fund management can source.,Apparel,Only,Crosby-Thomas,91.06,279.94,18.99,16.1,45.3,34.1,False,False,112,296,12,2026-04-30T04:36:50.726872
SKU-00352,Monitored background frame,Control response and quality memory understand politics religious challenge place might administration.,Hardware,Husband,Roberts,296.68,767.36,20.22,39.0,39.1,41.7,False,False,90,281,39,2026-04-30T04:36:50.726872
SKU-00353,Enhanced contextually-based firmware,Industry grow feel local later source realize.,Electronics,Policy,Williams-Riley,407.39,945.6,47.6,46.8,25.9,29.9,False,False,146,745,44,2026-04-30T04:36:50.726872
SKU-00354,Function-based attitude-oriented productivity,Will once form hot reach daughter behind home phone great source determine next most.,Food & Beverage,With,"Ramos,",348.0,497.58,37.56,38.3,60.9,49.7,False,False,157,328,27,2026-04-30T04:36:50.726872
SKU-00355,Total reciprocal process improvement,Available hope where indicate campaign until successful age because best.,Medical,Short,Hawkins,394.57,1206.91,49.89,20.2,35.6,16.4,False,False,10,422,15,2026-04-30T04:36:50.726872
SKU-00356,Grass-roots mission-critical parallelism,Program language think send past Democrat admit forget service room task.,Apparel,Near,"Salinas,",439.34,1289.61,3.78,66.5,6.2,23.7,False,False,11,271,25,2026-04-30T04:36:50.726872
SKU-00357,Realigned composite structure,Face available represent business least nor answer gun film campaign dream grow behavior save listen.,Electronics,Purpose,Wilkins,233.35,465.29,40.65,50.2,8.1,25.0,False,True,21,182,34,2026-04-30T04:36:50.726872
SKU-00358,Upgradable directional capacity,Management space eight member military spring more show strong forward read chance through.,Hardware,Hold,"Crosby,",399.36,1080.55,21.5,101.3,51.8,36.1,True,False,21,656,8,2026-04-30T04:36:50.726872
SKU-00359,Diverse multi-tasking concept,Too set book despite early decide join member garden movement fear walk institution trade police.,Electronics,Morning,Bishop,444.81,1362.17,11.94,8.3,32.4,3.4,False,False,61,835,30,2026-04-30T04:36:50.726872
SKU-00360,Grass-roots fresh-thinking website,Despite wind safe off store little chair discuss player ball local today raise remember outside.,Furniture,Cold,"Graves,",341.0,784.93,29.91,31.6,13.4,39.7,False,False,22,688,35,2026-04-30T04:36:50.726872
SKU-00361,Persevering even-keeled array,Relationship fact money range work choose kitchen set.,Apparel,Those,"Pearson,",194.53,620.91,23.23,110.5,76.1,56.2,False,False,79,695,38,2026-04-30T04:36:50.726872
SKU-00362,Optimized eco-centric groupware,Environmental image skin author group political financial born idea morning.,Electronics,Late,Mcconnell,428.39,842.99,37.38,115.7,26.1,18.5,False,False,41,620,2,2026-04-30T04:36:50.726872
SKU-00363,Business-focused non-volatile database,Say stand article book six student beat say offer present choice two.,Hardware,Check,Warren,284.33,814.98,29.8,45.0,31.3,14.3,False,False,94,457,26,2026-04-30T04:36:50.726872
SKU-00364,User-friendly didactic function,Cold high network nothing mind effect pressure any bar plant media almost account daughter travel network.,Apparel,Away,Harrell-Gonzales,71.87,186.4,34.32,22.2,42.0,30.7,False,False,13,290,27,2026-04-30T04:36:50.726872
SKU-00365,Front-line holistic utilization,Human would magazine up for evening thing generation one throughout American three machine environment security.,Automotive,Interesting,"Graves,",47.49,149.16,15.55,53.7,38.6,19.2,False,False,117,973,26,2026-04-30T04:36:50.726872
SKU-00366,Managed value-added database,Understand system federal of blood real report start give know phone radio sort.,Food & Beverage,His,"Williams,",8.69,17.77,49.72,47.1,32.4,6.1,False,False,27,501,15,2026-04-30T04:36:50.726872
SKU-00367,Multi-channeled fresh-thinking success,News team purpose law themselves near become city consumer employee.,Hardware,Yes,"Wood,",306.21,674.31,40.47,41.3,9.0,32.5,False,False,55,311,20,2026-04-30T04:36:50.726872
SKU-00368,Horizontal value-added infrastructure,Knowledge participant strategy story store bank sit.,Food & Beverage,Order,"Hudson,",35.16,90.68,15.45,70.2,9.2,23.8,False,False,64,149,44,2026-04-30T04:36:50.726872
SKU-00369,Persevering mission-critical hub,Attention occur read federal soldier page close deal beyond truth people concern.,Medical,Song,"Wolf,",365.53,936.83,16.03,57.9,48.0,44.6,False,False,173,639,35,2026-04-30T04:36:50.726872
SKU-00370,Switchable object-oriented leverage,Key its here five today loss gun field partner possible remain.,Industrial,Pull,Walker-Cannon,179.94,568.09,20.29,29.7,29.8,53.3,False,False,92,780,39,2026-04-30T04:36:50.726872
SKU-00371,Public-key methodical protocol,Big teacher song company cell able old should teach approach if we drop tend.,Sporting Goods,Half,Ward,223.46,510.61,27.39,5.8,56.5,4.9,False,False,200,760,31,2026-04-30T04:36:50.726872
SKU-00372,Persistent bottom-line application,Body wear poor left teach short pass.,Hardware,Everyone,Alvarado,381.63,942.49,12.29,5.7,53.2,34.7,False,False,120,550,16,2026-04-30T04:36:50.726872
SKU-00373,Fundamental system-worthy monitoring,Card good half while front effort development establish whom plant finally hour forget possible.,Apparel,Manage,Harvey,98.83,277.02,30.22,60.1,64.0,9.7,False,False,84,315,3,2026-04-30T04:36:50.726872
SKU-00374,Distributed disintermediate circuit,Happen health need street purpose old whose general section feeling maintain up best impact and.,Sporting Goods,Store,"Ayala,",84.94,282.3,16.18,92.8,66.2,56.2,False,False,168,930,38,2026-04-30T04:36:50.726872
SKU-00375,Vision-oriented content-based installation,Draw score pretty while few ability adult big hundred.,Industrial,Personal,Schultz-Davis,294.25,477.28,23.72,32.2,75.0,11.2,False,False,176,194,3,2026-04-30T04:36:50.726872
SKU-00376,Upgradable modular secured line,Major speak star early fact new require occur yes million describe voice health short also left.,Apparel,Cut,"Summers,",62.79,81.55,4.79,84.2,5.0,26.6,False,False,54,578,18,2026-04-30T04:36:50.726872
SKU-00377,Monitored reciprocal service-desk,Probably always bit see vote least so.,Food & Beverage,Expect,"Johnson,",133.06,454.19,24.78,13.1,49.3,10.7,False,False,133,389,21,2026-04-30T04:36:50.726872
SKU-00378,Enhanced multi-tasking functionalities,Quite huge region body something official sister professor side type interest I.,Office Supplies,Enjoy,Bolton-Gibbs,388.11,1221.06,34.53,19.6,34.2,55.1,False,False,186,673,40,2026-04-30T04:36:50.726872
SKU-00379,Pre-emptive disintermediate hub,Reflect organization animal around campaign move Democrat single whom discover generation blood.,Sporting Goods,Daughter,"Smith,",32.64,111.26,6.3,5.4,67.4,47.7,False,False,49,238,28,2026-04-30T04:36:50.726872
SKU-00380,Persistent fault-tolerant concept,Play wish dinner if public different look sign nothing kid star artist reason minute.,Apparel,Age,Padilla,446.81,1476.99,24.69,58.8,21.4,56.5,False,False,189,84,26,2026-04-30T04:36:50.726872
SKU-00381,Advanced static application,Purpose direction hair pick such night check station message window garden we protect down.,Industrial,Shoulder,Pacheco-Bautista,181.71,525.64,1.51,97.3,5.3,34.4,False,False,18,393,40,2026-04-30T04:36:50.726872
SKU-00382,Triple-buffered zero-defect website,Center media shake hospital voice billion special public.,Furniture,Deal,Jones,141.97,338.27,15.28,77.5,11.4,49.8,False,False,86,795,4,2026-04-30T04:36:50.726872
