shipment_id,order_id,carrier_id,tracking_number,ship_date,estimated_delivery,actual_delivery,status,weight_lbs,shipping_cost,is_on_time,num_packages,origin_warehouse_id,_ingested_at
SHIP-00004586,ORD-00007576,CAR-008,1Z705713208182401,2024-11-16,2024-11-20,2024-11-20,DELIVERED,129.5,119.06,True,2,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004587,ORD-00007579,CAR-003,1Z395534932917483,2025-10-29,2025-11-03,2025-11-03,DELIVERED,14.9,11.03,True,2,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004588,ORD-00007580,CAR-001,1Z101504782347738,2024-11-12,2024-11-18,2024-11-18,DELIVERED,19.3,41.22,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004589,ORD-00007584,CAR-008,1Z075747159304091,2025-04-16,2025-04-21,2025-04-26,DELIVERED,15.0,24.63,False,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004590,ORD-00007586,CAR-006,1Z926309703267903,2024-08-20,2024-08-24,2024-08-24,DELIVERED,89.0,193.33,True,7,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004591,ORD-00007588,CAR-006,1Z474510945617082,2025-08-24,2025-08-26,,SHIPPED,26.0,16.74,True,7,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004592,ORD-00007589,CAR-008,1Z438757677500797,2026-02-09,2026-02-12,,SHIPPED,58.3,28.48,True,2,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004593,ORD-00007590,CAR-001,1Z784911025817716,2025-10-03,2025-10-04,2025-10-04,DELIVERED,83.2,59.77,True,5,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004594,ORD-00007591,CAR-009,1Z146822097939272,2025-05-17,2025-05-22,2025-05-22,DELIVERED,21.3,15.59,True,5,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004595,ORD-00007593,CAR-006,1Z659929838344328,2025-04-04,2025-04-08,2025-04-08,DELIVERED,107.7,51.86,True,4,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004596,ORD-00007594,CAR-001,1Z286387269027292,2025-02-04,2025-02-07,,SHIPPED,117.0,77.03,True,10,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004597,ORD-00007595,CAR-002,1Z490293846890789,2025-12-09,2025-12-14,2025-12-14,DELIVERED,70.2,156.52,True,9,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004598,ORD-00007596,CAR-006,1Z521377833678533,2026-02-05,2026-02-06,2026-02-06,DELIVERED,63.9,145.13,True,10,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004599,ORD-00007598,CAR-009,1Z605150000431140,2026-04-25,2026-04-27,2026-04-27,DELIVERED,97.7,110.87,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004600,ORD-00007599,CAR-009,1Z697938920868253,2024-09-24,2024-09-27,,SHIPPED,114.9,279.59,True,6,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004601,ORD-00007600,CAR-008,1Z809097266666723,2026-03-20,2026-03-25,2026-03-25,DELIVERED,145.0,325.06,True,6,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004602,ORD-00007601,CAR-006,1Z903025486337510,2025-10-03,2025-10-08,,SHIPPED,113.6,121.08,False,6,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004603,ORD-00007602,CAR-004,1Z811589383219584,2024-12-31,2025-01-02,2025-01-02,DELIVERED,12.0,18.97,True,5,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004604,ORD-00007604,CAR-002,1Z464204138140852,2025-12-16,2025-12-18,2025-12-22,DELIVERED,74.5,135.6,False,5,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004605,ORD-00007606,CAR-007,1Z807511698865984,2025-03-01,2025-03-05,2025-03-05,DELIVERED,14.9,22.25,True,7,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004606,ORD-00007607,CAR-003,1Z359274315048486,2025-04-02,2025-04-07,,SHIPPED,135.3,63.3,True,7,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004607,ORD-00007609,CAR-009,1Z001633622400630,2025-09-30,2025-10-06,2025-10-06,DELIVERED,104.2,112.34,True,3,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004608,ORD-00007610,CAR-007,1Z667104153366663,2024-06-02,2024-06-03,,SHIPPED,56.1,116.53,True,2,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004609,ORD-00007611,CAR-002,1Z853308310375313,2025-03-13,2025-03-16,2025-03-16,DELIVERED,58.9,145.73,True,8,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004610,ORD-00007612,CAR-007,1Z773749893792979,2024-06-04,2024-06-10,2024-06-10,DELIVERED,120.5,162.08,True,10,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004611,ORD-00007613,CAR-010,1Z002252037236870,2025-09-18,2025-09-25,2025-09-25,DELIVERED,59.3,71.17,True,9,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004612,ORD-00007615,CAR-005,1Z957033434548414,2024-12-27,2024-12-30,2024-12-30,DELIVERED,10.6,17.33,True,6,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004613,ORD-00007616,CAR-005,1Z847599774833991,2025-08-02,2025-08-09,2025-08-09,DELIVERED,75.0,85.34,True,5,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004614,ORD-00007617,CAR-010,1Z008108261912206,2024-11-06,2024-11-07,,SHIPPED,143.5,100.66,True,3,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004615,ORD-00007620,CAR-006,1Z288543601363556,2025-12-23,2025-12-26,2025-12-26,DELIVERED,87.9,86.97,True,5,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004616,ORD-00007621,CAR-003,1Z769141650129969,2025-12-23,2025-12-27,2025-12-27,DELIVERED,37.9,69.39,True,4,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004617,ORD-00007622,CAR-008,1Z742048021053773,2025-03-18,2025-03-24,2025-03-26,DELIVERED,70.2,117.56,False,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004618,ORD-00007623,CAR-003,1Z836100118502052,2024-12-06,2024-12-08,2024-12-08,DELIVERED,26.0,61.06,True,4,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004619,ORD-00007632,CAR-007,1Z099715064424657,2026-01-27,2026-02-02,,SHIPPED,28.2,35.49,True,1,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004620,ORD-00007633,CAR-006,1Z028001556917426,2025-07-05,2025-07-10,2025-07-10,DELIVERED,80.9,160.83,True,2,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004621,ORD-00007635,CAR-007,1Z038226243195761,2024-09-28,2024-10-04,,SHIPPED,58.4,48.26,True,6,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004622,ORD-00007636,CAR-006,1Z253507078344885,2025-09-17,2025-09-19,,SHIPPED,123.5,149.7,True,7,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004623,ORD-00007637,CAR-001,1Z432687318520751,2025-05-20,2025-05-22,,SHIPPED,107.6,159.54,True,2,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004624,ORD-00007638,CAR-003,1Z506196920846785,2025-11-08,2025-11-15,2025-11-15,DELIVERED,91.0,220.15,True,5,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004625,ORD-00007641,CAR-009,1Z096271838436444,2025-09-10,2025-09-12,,SHIPPED,32.7,70.17,True,1,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004626,ORD-00007642,CAR-001,1Z000404026545881,2025-03-30,2025-04-01,2025-04-04,DELIVERED,121.2,165.62,False,8,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004627,ORD-00007643,CAR-003,1Z382977119218764,2026-02-18,2026-02-23,2026-02-23,DELIVERED,130.1,300.62,True,7,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004628,ORD-00007644,CAR-005,1Z936214566794113,2025-09-01,2025-09-04,2025-09-04,DELIVERED,107.3,68.8,True,9,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004629,ORD-00007645,CAR-001,1Z410673179302280,2024-08-18,2024-08-23,2024-08-23,DELIVERED,38.7,59.15,True,4,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004630,ORD-00007646,CAR-004,1Z012430885514268,2025-04-30,2025-05-05,2025-05-09,DELIVERED,145.4,350.88,False,10,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004631,ORD-00007650,CAR-005,1Z903227912568261,2024-05-29,2024-06-03,2024-06-03,DELIVERED,144.4,152.98,True,5,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004632,ORD-00007651,CAR-006,1Z480827706693871,2025-10-02,2025-10-03,2025-10-03,DELIVERED,123.1,175.49,True,3,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004633,ORD-00007655,CAR-009,1Z265260392620096,2025-11-15,2025-11-21,2025-11-21,DELIVERED,66.0,161.59,True,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004634,ORD-00007657,CAR-009,1Z940131312108463,2026-04-24,2026-04-28,,SHIPPED,71.4,110.78,True,7,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004635,ORD-00007658,CAR-004,1Z739756469423453,2024-07-06,2024-07-09,,SHIPPED,31.5,55.07,True,6,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004636,ORD-00007660,CAR-003,1Z492061599045224,2024-05-27,2024-06-02,,SHIPPED,132.2,289.15,True,1,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004637,ORD-00007661,CAR-002,1Z227814356629834,2025-12-05,2025-12-11,2025-12-11,DELIVERED,94.1,220.53,True,9,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004638,ORD-00007664,CAR-006,1Z372514095542124,2024-08-16,2024-08-17,2024-08-17,DELIVERED,37.7,69.28,True,8,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004639,ORD-00007669,CAR-010,1Z225142324132084,2025-04-03,2025-04-05,,SHIPPED,18.3,34.91,True,3,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004640,ORD-00007670,CAR-003,1Z890068524741494,2024-05-14,2024-05-20,2024-05-20,DELIVERED,103.3,95.33,True,9,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004641,ORD-00007672,CAR-009,1Z998669493125406,2024-12-09,2024-12-15,,SHIPPED,54.8,67.61,True,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004642,ORD-00007674,CAR-006,1Z837579017060171,2025-12-29,2026-01-01,2026-01-01,DELIVERED,120.7,210.58,True,8,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004643,ORD-00007675,CAR-003,1Z994970070079235,2025-03-05,2025-03-10,2025-03-10,DELIVERED,37.7,90.06,True,4,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004644,ORD-00007676,CAR-006,1Z834231901102210,2024-10-19,2024-10-23,,SHIPPED,85.5,173.72,True,1,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004645,ORD-00007679,CAR-002,1Z234722147187134,2025-08-14,2025-08-19,2025-08-19,DELIVERED,71.7,126.9,True,9,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004646,ORD-00007680,CAR-005,1Z176802098934483,2024-10-13,2024-10-16,,SHIPPED,6.6,5.34,True,2,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004647,ORD-00007681,CAR-005,1Z762126864975969,2025-07-09,2025-07-10,2025-07-10,DELIVERED,34.3,64.42,True,1,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004648,ORD-00007682,CAR-007,1Z492360110980635,2025-06-22,2025-06-28,2025-06-28,DELIVERED,20.7,9.44,True,6,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004649,ORD-00007683,CAR-004,1Z889444987563423,2024-11-11,2024-11-15,2024-11-16,DELIVERED,16.9,7.79,False,2,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004650,ORD-00007684,CAR-006,1Z920495691130333,2025-12-21,2025-12-27,,SHIPPED,72.5,168.49,True,6,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004651,ORD-00007685,CAR-010,1Z862712808289184,2025-07-24,2025-07-26,,SHIPPED,73.2,51.5,True,6,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004652,ORD-00007686,CAR-009,1Z564869273850715,2024-05-10,2024-05-17,2024-05-17,DELIVERED,104.1,258.47,True,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004653,ORD-00007688,CAR-010,1Z300150183900042,2025-09-26,2025-10-03,2025-10-07,DELIVERED,1.8,2.65,False,10,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004654,ORD-00007691,CAR-001,1Z771502701605144,2025-04-19,2025-04-22,,SHIPPED,94.1,112.82,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004655,ORD-00007693,CAR-003,1Z360666370615568,2026-03-12,2026-03-15,,SHIPPED,2.3,3.7,True,5,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004656,ORD-00007696,CAR-009,1Z154053582010233,2024-10-10,2024-10-15,2024-10-15,DELIVERED,100.2,183.81,True,1,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004657,ORD-00007698,CAR-007,1Z824510280887684,2025-08-12,2025-08-19,2025-08-19,DELIVERED,46.3,32.28,True,8,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004658,ORD-00007702,CAR-003,1Z061145897408904,2026-03-17,2026-03-19,2026-03-19,DELIVERED,78.9,109.05,True,4,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004659,ORD-00007703,CAR-006,1Z780833430844928,2025-10-15,2025-10-21,,SHIPPED,123.3,297.59,True,7,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004660,ORD-00007705,CAR-001,1Z158838838259800,2024-10-16,2024-10-20,2024-10-20,DELIVERED,83.6,78.33,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004661,ORD-00007706,CAR-009,1Z783653094055315,2025-03-31,2025-04-04,,SHIPPED,2.4,1.14,True,9,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004662,ORD-00007708,CAR-006,1Z774671748535720,2024-12-22,2024-12-23,,SHIPPED,120.6,260.34,True,7,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004663,ORD-00007710,CAR-005,1Z081925230823481,2025-02-10,2025-02-16,2025-02-16,DELIVERED,60.9,84.31,True,6,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004664,ORD-00007713,CAR-008,1Z836601761973485,2025-09-17,2025-09-18,2025-09-18,DELIVERED,30.5,14.78,True,4,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004665,ORD-00007717,CAR-007,1Z135603630732798,2026-01-03,2026-01-04,2026-01-04,DELIVERED,86.0,79.84,True,10,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004666,ORD-00007718,CAR-010,1Z828725082798091,2024-07-16,2024-07-23,,SHIPPED,131.0,321.84,True,5,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004667,ORD-00007719,CAR-001,1Z561482628506983,2025-05-23,2025-05-28,,SHIPPED,106.8,261.05,True,8,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004668,ORD-00007720,CAR-002,1Z975293286005884,2025-03-21,2025-03-25,2025-03-26,DELIVERED,104.2,220.12,False,8,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004669,ORD-00007721,CAR-001,1Z729983987227337,2025-08-17,2025-08-18,,SHIPPED,129.4,304.41,True,8,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004670,ORD-00007723,CAR-010,1Z154037783204931,2025-12-29,2025-12-30,2025-12-30,DELIVERED,94.0,213.8,True,6,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004671,ORD-00007724,CAR-010,1Z521127769064468,2025-08-24,2025-08-31,,SHIPPED,44.0,28.65,True,3,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004672,ORD-00007725,CAR-001,1Z546518470131239,2025-07-28,2025-08-01,2025-08-01,DELIVERED,18.5,42.27,True,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004673,ORD-00007727,CAR-004,1Z921027126379734,2025-04-26,2025-05-02,,SHIPPED,23.6,40.41,True,10,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004674,ORD-00007729,CAR-010,1Z592712760800893,2026-04-22,2026-04-29,,SHIPPED,51.3,98.03,True,2,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004675,ORD-00007730,CAR-007,1Z929815225582236,2024-09-03,2024-09-04,2024-09-04,DELIVERED,26.9,39.55,True,6,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004676,ORD-00007731,CAR-003,1Z732540251552326,2026-02-26,2026-03-04,2026-03-04,DELIVERED,58.9,141.33,True,7,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004677,ORD-00007732,CAR-001,1Z331628919436754,2024-07-15,2024-07-17,,SHIPPED,38.3,17.53,True,7,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004678,ORD-00007735,CAR-010,1Z447104020929444,2024-08-31,2024-09-03,,SHIPPED,29.0,36.07,False,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004679,ORD-00007737,CAR-006,1Z969953088403349,2025-07-13,2025-07-17,2025-07-17,DELIVERED,145.8,231.77,True,7,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004680,ORD-00007738,CAR-004,1Z629688145343216,2026-01-20,2026-01-26,2026-01-26,DELIVERED,120.1,280.38,True,6,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004681,ORD-00007739,CAR-008,1Z539817862893997,2024-12-19,2024-12-24,2024-12-24,DELIVERED,48.2,38.94,True,1,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004682,ORD-00007743,CAR-003,1Z904376617579876,2025-12-26,2026-01-02,,SHIPPED,39.3,22.99,True,1,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004683,ORD-00007747,CAR-004,1Z229030751978575,2025-11-07,2025-11-08,,SHIPPED,74.2,81.1,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004684,ORD-00007748,CAR-009,1Z803687236273955,2024-05-05,2024-05-10,2024-05-10,DELIVERED,139.1,97.52,True,9,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004685,ORD-00007751,CAR-003,1Z232692430734272,2025-12-15,2025-12-20,,SHIPPED,46.1,68.33,True,4,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004686,ORD-00007753,CAR-010,1Z951515905427162,2026-01-08,2026-01-13,,SHIPPED,82.7,191.06,True,5,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004687,ORD-00007754,CAR-002,1Z284305408933691,2026-01-12,2026-01-15,2026-01-15,DELIVERED,10.0,12.33,True,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004688,ORD-00007755,CAR-010,1Z755945100037465,2025-03-23,2025-03-25,,SHIPPED,95.9,183.4,False,9,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004689,ORD-00007756,CAR-008,1Z912098815387811,2025-10-04,2025-10-06,,SHIPPED,11.1,8.81,True,2,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004690,ORD-00007757,CAR-006,1Z296209721661493,2026-01-02,2026-01-08,,SHIPPED,38.6,27.23,True,9,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004691,ORD-00007758,CAR-001,1Z775922607065683,2025-08-01,2025-08-06,2025-08-08,DELIVERED,120.3,298.86,False,7,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004692,ORD-00007759,CAR-005,1Z929461623340976,2025-11-08,2025-11-10,2025-11-10,DELIVERED,25.8,44.97,True,4,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004693,ORD-00007763,CAR-008,1Z038910377502136,2024-05-07,2024-05-08,2024-05-08,DELIVERED,96.7,143.41,True,2,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004694,ORD-00007765,CAR-002,1Z157445851661329,2025-03-29,2025-03-30,2025-03-30,DELIVERED,147.4,180.97,True,4,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004695,ORD-00007768,CAR-009,1Z007089920996335,2025-02-26,2025-03-04,2025-03-06,DELIVERED,114.3,98.07,False,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004696,ORD-00007771,CAR-001,1Z124874415719024,2026-02-15,2026-02-16,2026-02-17,DELIVERED,96.4,96.07,False,6,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004697,ORD-00007772,CAR-008,1Z153621357704637,2024-07-11,2024-07-14,2024-07-14,DELIVERED,130.5,261.99,True,10,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004698,ORD-00007774,CAR-005,1Z253849556990827,2025-11-23,2025-11-29,2025-11-29,DELIVERED,62.1,109.88,True,3,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004699,ORD-00007776,CAR-010,1Z606696040657040,2024-10-29,2024-10-31,2024-10-31,DELIVERED,73.8,131.92,True,7,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004700,ORD-00007777,CAR-004,1Z067627236622653,2025-08-10,2025-08-13,2025-08-13,DELIVERED,1.1,1.5,True,6,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004701,ORD-00007780,CAR-007,1Z661783812672905,2024-08-23,2024-08-28,2024-08-28,DELIVERED,52.6,82.73,True,10,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004702,ORD-00007782,CAR-009,1Z667315448524177,2024-10-05,2024-10-08,2024-10-08,DELIVERED,83.3,51.48,True,1,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004703,ORD-00007784,CAR-007,1Z356255886983074,2024-05-11,2024-05-12,,SHIPPED,22.0,25.46,True,2,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004704,ORD-00007785,CAR-008,1Z143562677513521,2026-03-11,2026-03-13,,SHIPPED,128.5,210.02,True,8,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004705,ORD-00007790,CAR-003,1Z277699467467285,2024-06-23,2024-06-25,2024-06-25,DELIVERED,67.1,41.71,True,2,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004706,ORD-00007792,CAR-003,1Z245247355305897,2024-08-26,2024-08-28,2024-09-02,DELIVERED,89.0,63.08,False,5,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004707,ORD-00007794,CAR-003,1Z123532931363143,2026-02-28,2026-03-03,2026-03-05,DELIVERED,60.0,113.78,False,7,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004708,ORD-00007795,CAR-009,1Z805779487874460,2025-01-01,2025-01-04,,SHIPPED,147.8,144.62,True,5,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004709,ORD-00007797,CAR-005,1Z549481575288826,2026-03-28,2026-03-30,2026-03-30,DELIVERED,101.6,204.23,True,8,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004710,ORD-00007798,CAR-006,1Z745679635405371,2026-02-16,2026-02-18,2026-02-18,DELIVERED,60.0,35.88,True,4,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004711,ORD-00007800,CAR-004,1Z314278444869834,2024-05-10,2024-05-16,,SHIPPED,43.7,46.08,False,7,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004712,ORD-00007801,CAR-002,1Z738922280357265,2024-08-21,2024-08-27,2024-08-27,DELIVERED,39.9,22.94,True,2,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004713,ORD-00007806,CAR-010,1Z778940868206868,2024-10-28,2024-10-29,2024-10-29,DELIVERED,17.6,32.39,True,5,WH-CEN-08,2026-04-30T04:36:50.726872
SHIP-00004714,ORD-00007810,CAR-007,1Z020334073023358,2024-09-07,2024-09-10,,SHIPPED,63.3,62.15,True,1,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004715,ORD-00007811,CAR-008,1Z682504489088280,2026-04-19,2026-04-21,,SHIPPED,5.1,11.59,True,8,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004716,ORD-00007812,CAR-007,1Z535883651867619,2024-06-11,2024-06-12,2024-06-12,DELIVERED,87.0,189.1,True,3,WH-EAS-01,2026-04-30T04:36:50.726872
SHIP-00004717,ORD-00007813,CAR-002,1Z444576856550281,2025-02-04,2025-02-11,2025-02-11,DELIVERED,148.5,338.88,True,5,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004718,ORD-00007814,CAR-005,1Z083185546649451,2025-02-05,2025-02-06,,SHIPPED,118.9,159.93,True,4,WH-CEN-10,2026-04-30T04:36:50.726872
SHIP-00004719,ORD-00007816,CAR-001,1Z054606714998781,2024-10-08,2024-10-09,2024-10-09,DELIVERED,3.9,5.76,True,1,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004720,ORD-00007817,CAR-008,1Z671552963039708,2024-06-01,2024-06-04,2024-06-09,DELIVERED,70.6,162.94,False,6,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004721,ORD-00007819,CAR-006,1Z410257041312789,2024-06-25,2024-07-02,2024-07-02,DELIVERED,98.9,101.2,True,6,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004722,ORD-00007820,CAR-003,1Z293390223950100,2025-08-10,2025-08-17,,SHIPPED,59.4,42.61,False,5,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004723,ORD-00007821,CAR-008,1Z210724056310050,2025-05-05,2025-05-11,,SHIPPED,56.1,33.25,True,10,WH-NOR-04,2026-04-30T04:36:50.726872
SHIP-00004724,ORD-00007822,CAR-007,1Z722587947223602,2025-07-02,2025-07-03,,SHIPPED,46.2,68.93,True,1,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004725,ORD-00007823,CAR-007,1Z442269022574671,2024-08-12,2024-08-18,2024-08-18,DELIVERED,40.4,29.43,True,8,WH-EAS-02,2026-04-30T04:36:50.726872
SHIP-00004726,ORD-00007824,CAR-007,1Z035852058764370,2025-06-12,2025-06-19,,SHIPPED,82.1,136.8,True,3,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004727,ORD-00007825,CAR-004,1Z987077034465126,2026-02-17,2026-02-20,2026-02-20,DELIVERED,67.7,132.09,True,4,WH-SOU-09,2026-04-30T04:36:50.726872
SHIP-00004728,ORD-00007827,CAR-002,1Z086618305177860,2025-03-02,2025-03-06,,SHIPPED,135.5,264.34,True,10,WH-EAS-06,2026-04-30T04:36:50.726872
SHIP-00004729,ORD-00007830,CAR-008,1Z656636938811141,2024-05-27,2024-05-31,,SHIPPED,67.2,138.03,False,6,WH-NOR-05,2026-04-30T04:36:50.726872
SHIP-00004730,ORD-00007831,CAR-010,1Z870799195003819,2024-07-03,2024-07-06,2024-07-06,DELIVERED,23.2,57.78,True,2,WH-WES-07,2026-04-30T04:36:50.726872
SHIP-00004731,ORD-00007832,CAR-008,1Z486223784871618,2024-07-07,2024-07-11,2024-07-11,DELIVERED,129.3,108.66,True,5,WH-EAS-03,2026-04-30T04:36:50.726872
SHIP-00004732,ORD-00007835,CAR-002,1Z674588585727067,2024-07-12,2024-07-19,,SHIPPED,87.7,59.88,True,5,WH-EAS-03,2026-04-30T04:36:50.726872
