perf_id,supplier_id,period_month,period_year,total_pos,on_time_deliveries,on_time_rate,fill_rate,defect_rate,avg_lead_days,score,_ingested_at
SPERF-00000634,SUP-0022,4,2023,23,21,0.938,0.828,0.024,42,85.5,2026-04-30T04:36:50.726872
SPERF-00000635,SUP-0022,5,2023,17,15,0.936,0.877,0.025,50,86.89,2026-04-30T04:36:50.726872
SPERF-00000636,SUP-0022,6,2023,42,32,0.771,0.955,0.0391,54,79.49,2026-04-30T04:36:50.726872
SPERF-00000637,SUP-0022,7,2023,35,26,0.747,0.833,0.026,18,77.53,2026-04-30T04:36:50.726872
SPERF-00000638,SUP-0022,8,2023,59,50,0.858,0.813,0.0497,14,75.35,2026-04-30T04:36:50.726872
SPERF-00000639,SUP-0022,9,2023,42,35,0.843,0.841,0.037,6,78.91,2026-04-30T04:36:50.726872
SPERF-00000640,SUP-0022,10,2023,51,41,0.816,0.85,0.0445,38,76.27,2026-04-30T04:36:50.726872
SPERF-00000641,SUP-0022,11,2023,65,46,0.708,0.956,0.0233,6,80.95,2026-04-30T04:36:50.726872
SPERF-00000642,SUP-0022,12,2023,41,39,0.963,0.896,0.0438,5,83.93,2026-04-30T04:36:50.726872
SPERF-00000643,SUP-0022,1,2024,79,77,0.975,0.87,0.0295,56,87.08,2026-04-30T04:36:50.726872
SPERF-00000644,SUP-0022,2,2024,21,15,0.756,0.865,0.0095,25,83.14,2026-04-30T04:36:50.726872
SPERF-00000645,SUP-0022,3,2024,38,33,0.885,0.844,0.0372,58,80.64,2026-04-30T04:36:50.726872
SPERF-00000646,SUP-0022,4,2024,23,22,0.962,0.817,0.0447,10,80.9,2026-04-30T04:36:50.726872
SPERF-00000647,SUP-0022,5,2024,39,31,0.801,0.834,0.0097,15,83.8,2026-04-30T04:36:50.726872
SPERF-00000648,SUP-0022,6,2024,49,41,0.847,0.832,0.042,48,77.5,2026-04-30T04:36:50.726872
SPERF-00000649,SUP-0022,7,2024,15,10,0.715,0.857,0.0256,39,77.19,2026-04-30T04:36:50.726872
SPERF-00000650,SUP-0022,8,2024,50,37,0.752,0.844,0.0131,3,81.34,2026-04-30T04:36:50.726872
SPERF-00000651,SUP-0022,9,2024,19,16,0.882,0.973,0.0229,41,88.61,2026-04-30T04:36:50.726872
SPERF-00000652,SUP-0022,10,2024,59,48,0.827,0.938,0.0331,48,82.63,2026-04-30T04:36:50.726872
SPERF-00000653,SUP-0022,11,2024,61,55,0.907,0.81,0.0435,50,78.75,2026-04-30T04:36:50.726872
SPERF-00000654,SUP-0022,12,2024,78,76,0.978,0.978,0.0136,37,94.95,2026-04-30T04:36:50.726872
SPERF-00000655,SUP-0022,1,2025,65,56,0.866,0.885,0.0497,13,78.19,2026-04-30T04:36:50.726872
SPERF-00000656,SUP-0022,2,2025,39,29,0.752,0.949,0.0494,49,75.94,2026-04-30T04:36:50.726872
SPERF-00000657,SUP-0022,3,2025,39,27,0.71,0.898,0.0144,11,81.23,2026-04-30T04:36:50.726872
SPERF-00000658,SUP-0022,4,2025,35,33,0.95,0.985,0.032,37,89.47,2026-04-30T04:36:50.726872
SPERF-00000659,SUP-0022,5,2025,64,59,0.925,0.858,0.0238,7,86.08,2026-04-30T04:36:50.726872
SPERF-00000660,SUP-0022,6,2025,62,46,0.748,0.912,0.0065,11,85.22,2026-04-30T04:36:50.726872
SPERF-00000661,SUP-0023,1,2023,77,63,0.826,0.92,0.0227,47,84.57,2026-04-30T04:36:50.726872
SPERF-00000662,SUP-0023,2,2023,31,24,0.79,0.883,0.0167,44,83.33,2026-04-30T04:36:50.726872
SPERF-00000663,SUP-0023,3,2023,78,61,0.789,0.878,0.0347,40,78.62,2026-04-30T04:36:50.726872
SPERF-00000664,SUP-0023,4,2023,16,12,0.785,0.88,0.0134,37,83.85,2026-04-30T04:36:50.726872
SPERF-00000665,SUP-0023,5,2023,78,59,0.758,0.954,0.0188,27,84.01,2026-04-30T04:36:50.726872
SPERF-00000666,SUP-0023,6,2023,47,33,0.718,0.884,0.0312,35,76.86,2026-04-30T04:36:50.726872
SPERF-00000667,SUP-0023,7,2023,62,45,0.737,0.847,0.0105,58,81.5,2026-04-30T04:36:50.726872
SPERF-00000668,SUP-0023,8,2023,79,66,0.838,0.874,0.0319,19,81.14,2026-04-30T04:36:50.726872
SPERF-00000669,SUP-0023,9,2023,75,57,0.762,0.83,0.0123,51,81.45,2026-04-30T04:36:50.726872
SPERF-00000670,SUP-0023,10,2023,20,18,0.911,0.941,0.0064,28,92.78,2026-04-30T04:36:50.726872
SPERF-00000671,SUP-0023,11,2023,25,22,0.88,0.976,0.0233,11,88.53,2026-04-30T04:36:50.726872
SPERF-00000672,SUP-0023,12,2023,38,28,0.743,0.87,0.0163,8,81.09,2026-04-30T04:36:50.726872
SPERF-00000673,SUP-0023,1,2024,67,64,0.959,0.849,0.0354,12,84.23,2026-04-30T04:36:50.726872
SPERF-00000674,SUP-0023,2,2024,6,5,0.907,0.891,0.0358,36,83.52,2026-04-30T04:36:50.726872
SPERF-00000675,SUP-0023,3,2024,31,28,0.918,0.854,0.0124,47,88.51,2026-04-30T04:36:50.726872
SPERF-00000676,SUP-0023,4,2024,14,10,0.719,0.907,0.0122,11,82.45,2026-04-30T04:36:50.726872
SPERF-00000677,SUP-0023,5,2024,67,59,0.895,0.901,0.0455,46,80.96,2026-04-30T04:36:50.726872
SPERF-00000678,SUP-0023,6,2024,73,70,0.963,0.967,0.0082,5,95.31,2026-04-30T04:36:50.726872
SPERF-00000679,SUP-0023,7,2024,78,67,0.865,0.901,0.0344,6,82.54,2026-04-30T04:36:50.726872
SPERF-00000680,SUP-0023,8,2024,35,28,0.82,0.913,0.0224,59,84.16,2026-04-30T04:36:50.726872
SPERF-00000681,SUP-0023,9,2024,60,58,0.974,0.838,0.0217,37,87.86,2026-04-30T04:36:50.726872
SPERF-00000682,SUP-0023,10,2024,41,37,0.91,0.95,0.0138,42,91.2,2026-04-30T04:36:50.726872
SPERF-00000683,SUP-0023,11,2024,35,26,0.753,0.949,0.0176,41,83.93,2026-04-30T04:36:50.726872
SPERF-00000684,SUP-0023,12,2024,61,48,0.798,0.915,0.0093,47,86.62,2026-04-30T04:36:50.726872
SPERF-00000685,SUP-0023,1,2025,71,65,0.929,0.918,0.0337,49,85.87,2026-04-30T04:36:50.726872
SPERF-00000686,SUP-0023,2,2025,21,15,0.759,0.802,0.0067,54,81.75,2026-04-30T04:36:50.726872
SPERF-00000687,SUP-0023,3,2025,80,69,0.864,0.919,0.0364,5,82.62,2026-04-30T04:36:50.726872
SPERF-00000688,SUP-0023,4,2025,60,44,0.745,0.828,0.025,20,77.53,2026-04-30T04:36:50.726872
SPERF-00000689,SUP-0023,5,2025,76,68,0.897,0.896,0.0353,48,83.42,2026-04-30T04:36:50.726872
SPERF-00000690,SUP-0023,6,2025,60,54,0.902,0.96,0.0169,42,90.46,2026-04-30T04:36:50.726872
SPERF-00000691,SUP-0024,1,2023,61,55,0.908,0.935,0.0454,29,82.7,2026-04-30T04:36:50.726872
SPERF-00000692,SUP-0024,2,2023,64,51,0.806,0.935,0.0167,10,85.79,2026-04-30T04:36:50.726872
SPERF-00000693,SUP-0024,3,2023,52,50,0.972,0.941,0.0147,58,93.14,2026-04-30T04:36:50.726872
SPERF-00000694,SUP-0024,4,2023,75,67,0.897,0.83,0.0455,53,78.56,2026-04-30T04:36:50.726872
SPERF-00000695,SUP-0024,5,2023,67,65,0.977,0.945,0.0477,15,85.23,2026-04-30T04:36:50.726872
SPERF-00000696,SUP-0024,6,2023,53,44,0.849,0.839,0.0354,50,79.48,2026-04-30T04:36:50.726872
SPERF-00000697,SUP-0024,7,2023,80,73,0.923,0.909,0.0435,6,82.86,2026-04-30T04:36:50.726872
SPERF-00000698,SUP-0024,8,2023,71,66,0.932,0.967,0.0146,32,92.47,2026-04-30T04:36:50.726872
SPERF-00000699,SUP-0024,9,2023,8,6,0.766,0.974,0.0112,5,86.93,2026-04-30T04:36:50.726872
SPERF-00000700,SUP-0024,10,2023,11,8,0.79,0.821,0.0038,32,84.39,2026-04-30T04:36:50.726872
SPERF-00000701,SUP-0024,11,2023,37,33,0.91,0.939,0.0478,46,82.31,2026-04-30T04:36:50.726872
SPERF-00000702,SUP-0024,12,2023,10,8,0.873,0.831,0.0484,28,76.91,2026-04-30T04:36:50.726872
SPERF-00000703,SUP-0024,1,2024,78,76,0.986,0.844,0.0472,21,82.18,2026-04-30T04:36:50.726872
SPERF-00000704,SUP-0024,2,2024,74,60,0.823,0.816,0.0274,48,79.63,2026-04-30T04:36:50.726872
SPERF-00000705,SUP-0024,3,2024,15,12,0.845,0.913,0.0476,48,78.85,2026-04-30T04:36:50.726872
SPERF-00000706,SUP-0024,4,2024,74,71,0.965,0.963,0.0352,33,88.51,2026-04-30T04:36:50.726872
SPERF-00000707,SUP-0024,5,2024,5,4,0.805,0.98,0.006,42,90.0,2026-04-30T04:36:50.726872
SPERF-00000708,SUP-0024,6,2024,56,48,0.872,0.933,0.0091,36,90.26,2026-04-30T04:36:50.726872
SPERF-00000709,SUP-0024,7,2024,10,8,0.822,0.962,0.0189,37,86.82,2026-04-30T04:36:50.726872
SPERF-00000710,SUP-0024,8,2024,45,36,0.806,0.979,0.0312,8,83.7,2026-04-30T04:36:50.726872
SPERF-00000711,SUP-0024,9,2024,11,9,0.819,0.877,0.0032,8,87.66,2026-04-30T04:36:50.726872
SPERF-00000712,SUP-0024,10,2024,12,8,0.741,0.911,0.0352,39,77.73,2026-04-30T04:36:50.726872
SPERF-00000713,SUP-0024,11,2024,16,13,0.851,0.902,0.0297,22,83.19,2026-04-30T04:36:50.726872
SPERF-00000714,SUP-0024,12,2024,28,27,0.979,0.934,0.0112,28,94.05,2026-04-30T04:36:50.726872
SPERF-00000715,SUP-0024,1,2025,73,54,0.745,0.975,0.0106,11,86.28,2026-04-30T04:36:50.726872
SPERF-00000716,SUP-0024,2,2025,44,41,0.951,0.832,0.0172,7,87.86,2026-04-30T04:36:50.726872
SPERF-00000717,SUP-0024,3,2025,6,4,0.726,0.866,0.0113,57,81.52,2026-04-30T04:36:50.726872
SPERF-00000718,SUP-0024,4,2025,33,23,0.701,0.803,0.0347,34,72.47,2026-04-30T04:36:50.726872
SPERF-00000719,SUP-0024,5,2025,35,25,0.72,0.846,0.0446,12,72.26,2026-04-30T04:36:50.726872
SPERF-00000720,SUP-0024,6,2025,80,67,0.841,0.976,0.0306,55,85.15,2026-04-30T04:36:50.726872
SPERF-00000721,SUP-0025,1,2023,68,49,0.722,0.835,0.0414,21,72.75,2026-04-30T04:36:50.726872
SPERF-00000722,SUP-0025,2,2023,17,12,0.752,0.968,0.013,26,85.71,2026-04-30T04:36:50.726872
SPERF-00000723,SUP-0025,3,2023,45,39,0.883,0.964,0.0421,10,83.53,2026-04-30T04:36:50.726872
SPERF-00000724,SUP-0025,4,2023,9,8,0.894,0.942,0.033,46,85.48,2026-04-30T04:36:50.726872
SPERF-00000725,SUP-0025,5,2023,17,15,0.935,0.809,0.0346,18,82.06,2026-04-30T04:36:50.726872
SPERF-00000726,SUP-0025,6,2023,60,48,0.801,0.932,0.0174,21,85.31,2026-04-30T04:36:50.726872
SPERF-00000727,SUP-0025,7,2023,49,48,0.986,0.819,0.0489,37,80.88,2026-04-30T04:36:50.726872
SPERF-00000728,SUP-0025,8,2023,13,10,0.811,0.974,0.0431,36,80.75,2026-04-30T04:36:50.726872
SPERF-00000729,SUP-0025,9,2023,52,43,0.831,0.872,0.0099,31,86.28,2026-04-30T04:36:50.726872
SPERF-00000730,SUP-0025,10,2023,52,43,0.836,0.9,0.0368,53,80.74,2026-04-30T04:36:50.726872
SPERF-00000731,SUP-0025,11,2023,9,7,0.886,0.989,0.0095,12,92.68,2026-04-30T04:36:50.726872
SPERF-00000732,SUP-0025,12,2023,41,38,0.927,0.934,0.008,10,92.77,2026-04-30T04:36:50.726872
SPERF-00000733,SUP-0025,1,2024,26,24,0.932,0.847,0.0435,24,81.05,2026-04-30T04:36:50.726872
SPERF-00000734,SUP-0025,2,2024,58,56,0.981,0.928,0.0405,42,86.59,2026-04-30T04:36:50.726872
SPERF-00000735,SUP-0025,3,2024,17,15,0.89,0.936,0.0463,28,81.79,2026-04-30T04:36:50.726872
SPERF-00000736,SUP-0025,4,2024,26,21,0.816,0.904,0.0102,3,86.73,2026-04-30T04:36:50.726872
SPERF-00000737,SUP-0025,5,2024,49,46,0.94,0.941,0.0439,52,84.56,2026-04-30T04:36:50.726872
SPERF-00000738,SUP-0025,6,2024,64,46,0.73,0.963,0.0297,40,80.48,2026-04-30T04:36:50.726872
SPERF-00000739,SUP-0025,7,2024,29,23,0.795,0.975,0.0238,49,84.97,2026-04-30T04:36:50.726872
SPERF-00000740,SUP-0025,8,2024,15,10,0.71,0.876,0.019,39,79.31,2026-04-30T04:36:50.726872
SPERF-00000741,SUP-0025,9,2024,11,8,0.76,0.966,0.0429,27,78.49,2026-04-30T04:36:50.726872
SPERF-00000742,SUP-0025,10,2024,60,45,0.766,0.947,0.0242,52,82.73,2026-04-30T04:36:50.726872
SPERF-00000743,SUP-0025,11,2024,49,48,0.984,0.854,0.0014,16,93.9,2026-04-30T04:36:50.726872
SPERF-00000744,SUP-0025,12,2024,14,10,0.721,0.909,0.0136,28,82.25,2026-04-30T04:36:50.726872
SPERF-00000745,SUP-0025,1,2025,11,9,0.873,0.943,0.0031,33,92.15,2026-04-30T04:36:50.726872
SPERF-00000746,SUP-0025,2,2025,74,68,0.926,0.941,0.0205,56,89.85,2026-04-30T04:36:50.726872
SPERF-00000747,SUP-0025,3,2025,65,55,0.847,0.91,0.0205,54,85.6,2026-04-30T04:36:50.726872
SPERF-00000748,SUP-0025,4,2025,61,52,0.867,0.809,0.008,35,86.0,2026-04-30T04:36:50.726872
SPERF-00000749,SUP-0025,5,2025,11,9,0.899,0.956,0.0499,26,81.95,2026-04-30T04:36:50.726872
SPERF-00000750,SUP-0025,6,2025,46,43,0.954,0.849,0.0187,48,88.2,2026-04-30T04:36:50.726872
SPERF-00000751,SUP-0026,1,2023,17,12,0.718,0.942,0.0326,51,78.54,2026-04-30T04:36:50.726872
SPERF-00000752,SUP-0026,2,2023,15,11,0.783,0.926,0.0458,18,77.28,2026-04-30T04:36:50.726872
SPERF-00000753,SUP-0026,3,2023,23,19,0.844,0.856,0.0291,55,81.44,2026-04-30T04:36:50.726872
SPERF-00000754,SUP-0026,4,2023,49,44,0.906,0.976,0.0264,52,88.8,2026-04-30T04:36:50.726872
SPERF-00000755,SUP-0026,5,2023,76,61,0.814,0.843,0.0368,20,77.86,2026-04-30T04:36:50.726872
SPERF-00000756,SUP-0026,6,2023,7,5,0.758,0.923,0.0454,7,76.28,2026-04-30T04:36:50.726872
SPERF-00000757,SUP-0026,7,2023,5,3,0.703,0.928,0.0111,30,82.83,2026-04-30T04:36:50.726872
SPERF-00000758,SUP-0026,8,2023,17,13,0.78,0.834,0.0424,47,74.79,2026-04-30T04:36:50.726872
SPERF-00000759,SUP-0026,9,2023,48,40,0.852,0.933,0.0174,6,87.39,2026-04-30T04:36:50.726872
SPERF-00000760,SUP-0026,10,2023,41,36,0.879,0.978,0.0312,14,86.59,2026-04-30T04:36:50.726872
SPERF-00000761,SUP-0026,11,2023,14,10,0.741,0.976,0.0088,44,86.6,2026-04-30T04:36:50.726872
SPERF-00000762,SUP-0026,12,2023,33,23,0.7,0.89,0.0216,27,78.75,2026-04-30T04:36:50.726872
SPERF-00000763,SUP-0026,1,2024,33,31,0.94,0.974,0.0271,38,89.91,2026-04-30T04:36:50.726872
SPERF-00000764,SUP-0026,2,2024,21,15,0.749,0.948,0.0475,22,76.27,2026-04-30T04:36:50.726872
SPERF-00000765,SUP-0026,3,2024,63,60,0.954,0.933,0.0344,49,87.22,2026-04-30T04:36:50.726872
SPERF-00000766,SUP-0026,4,2024,14,12,0.886,0.949,0.0163,24,89.58,2026-04-30T04:36:50.726872
SPERF-00000767,SUP-0026,5,2024,33,26,0.795,0.888,0.036,11,78.88,2026-04-30T04:36:50.726872
SPERF-00000768,SUP-0026,6,2024,52,43,0.838,0.897,0.0191,44,85.14,2026-04-30T04:36:50.726872
SPERF-00000769,SUP-0026,7,2024,7,5,0.735,0.967,0.0363,7,79.17,2026-04-30T04:36:50.726872
SPERF-00000770,SUP-0026,8,2024,30,22,0.76,0.955,0.0469,24,77.1,2026-04-30T04:36:50.726872
SPERF-00000771,SUP-0026,9,2024,79,66,0.847,0.982,0.0136,5,89.85,2026-04-30T04:36:50.726872
SPERF-00000772,SUP-0026,10,2024,19,17,0.905,0.931,0.0299,44,86.31,2026-04-30T04:36:50.726872
SPERF-00000773,SUP-0026,11,2024,33,28,0.873,0.977,0.0354,16,85.27,2026-04-30T04:36:50.726872
SPERF-00000774,SUP-0026,12,2024,77,74,0.964,0.911,0.0426,47,84.8,2026-04-30T04:36:50.726872
SPERF-00000775,SUP-0026,1,2025,21,17,0.848,0.884,0.0375,14,80.48,2026-04-30T04:36:50.726872
SPERF-00000776,SUP-0026,2,2025,46,35,0.763,0.828,0.0129,36,81.28,2026-04-30T04:36:50.726872
SPERF-00000777,SUP-0026,3,2025,27,26,0.963,0.968,0.0097,38,94.97,2026-04-30T04:36:50.726872
SPERF-00000778,SUP-0026,4,2025,12,9,0.772,0.94,0.0144,57,85.18,2026-04-30T04:36:50.726872
SPERF-00000779,SUP-0026,5,2025,72,60,0.838,0.96,0.0281,45,85.09,2026-04-30T04:36:50.726872
SPERF-00000780,SUP-0026,6,2025,9,7,0.786,0.81,0.0034,16,83.94,2026-04-30T04:36:50.726872
SPERF-00000781,SUP-0027,1,2023,17,15,0.895,0.819,0.035,15,80.72,2026-04-30T04:36:50.726872
SPERF-00000782,SUP-0027,2,2023,41,35,0.868,0.868,0.0303,55,82.52,2026-04-30T04:36:50.726872
SPERF-00000783,SUP-0027,3,2023,34,23,0.705,0.982,0.0177,18,83.14,2026-04-30T04:36:50.726872
SPERF-00000784,SUP-0027,4,2023,43,39,0.913,0.901,0.002,25,92.56,2026-04-30T04:36:50.726872
SPERF-00000785,SUP-0027,5,2023,48,44,0.919,0.967,0.025,19,89.36,2026-04-30T04:36:50.726872
SPERF-00000786,SUP-0027,6,2023,74,55,0.75,0.948,0.0457,6,76.75,2026-04-30T04:36:50.726872
SPERF-00000787,SUP-0027,7,2023,46,44,0.958,0.876,0.004,4,92.98,2026-04-30T04:36:50.726872
SPERF-00000788,SUP-0027,8,2023,46,41,0.904,0.867,0.0122,33,88.45,2026-04-30T04:36:50.726872
SPERF-00000789,SUP-0027,9,2023,39,31,0.806,0.904,0.0334,34,80.53,2026-04-30T04:36:50.726872
SPERF-00000790,SUP-0027,10,2023,57,54,0.957,0.873,0.0325,59,85.71,2026-04-30T04:36:50.726872
SPERF-00000791,SUP-0027,11,2023,34,24,0.708,0.913,0.0426,29,74.62,2026-04-30T04:36:50.726872
SPERF-00000792,SUP-0027,12,2023,69,57,0.839,0.986,0.0028,11,92.37,2026-04-30T04:36:50.726872
SPERF-00000793,SUP-0027,1,2024,58,53,0.924,0.979,0.021,38,90.97,2026-04-30T04:36:50.726872
SPERF-00000794,SUP-0027,2,2024,45,44,0.989,0.863,0.0128,12,91.56,2026-04-30T04:36:50.726872
SPERF-00000795,SUP-0027,3,2024,24,17,0.722,0.978,0.0363,25,79.03,2026-04-30T04:36:50.726872
SPERF-00000796,SUP-0027,4,2024,74,68,0.92,0.858,0.0276,53,84.93,2026-04-30T04:36:50.726872
SPERF-00000797,SUP-0027,5,2024,33,26,0.789,0.943,0.0494,21,77.22,2026-04-30T04:36:50.726872
SPERF-00000798,SUP-0027,6,2024,36,30,0.836,0.846,0.0478,37,76.1,2026-04-30T04:36:50.726872
SPERF-00000799,SUP-0027,7,2024,69,53,0.782,0.817,0.0023,28,84.3,2026-04-30T04:36:50.726872
SPERF-00000800,SUP-0027,8,2024,28,26,0.943,0.867,0.0495,23,80.69,2026-04-30T04:36:50.726872
SPERF-00000801,SUP-0027,9,2024,42,31,0.746,0.937,0.021,50,82.39,2026-04-30T04:36:50.726872
SPERF-00000802,SUP-0027,10,2024,78,72,0.93,0.971,0.0042,21,95.14,2026-04-30T04:36:50.726872
SPERF-00000803,SUP-0027,11,2024,46,44,0.976,0.941,0.0165,47,92.85,2026-04-30T04:36:50.726872
SPERF-00000804,SUP-0027,12,2024,26,19,0.747,0.931,0.0358,4,78.52,2026-04-30T04:36:50.726872
SPERF-00000805,SUP-0027,1,2025,58,43,0.747,0.962,0.0264,52,81.95,2026-04-30T04:36:50.726872
SPERF-00000806,SUP-0027,2,2025,54,50,0.937,0.932,0.0458,56,83.65,2026-04-30T04:36:50.726872
SPERF-00000807,SUP-0027,3,2025,52,41,0.799,0.848,0.0072,60,84.84,2026-04-30T04:36:50.726872
SPERF-00000808,SUP-0027,4,2025,75,72,0.96,0.953,0.0176,44,92.35,2026-04-30T04:36:50.726872
SPERF-00000809,SUP-0027,5,2025,44,42,0.969,0.859,0.0488,39,81.62,2026-04-30T04:36:50.726872
SPERF-00000810,SUP-0027,6,2025,17,12,0.723,0.946,0.0027,29,86.36,2026-04-30T04:36:50.726872
SPERF-00000811,SUP-0028,1,2023,30,24,0.818,0.879,0.0363,28,79.41,2026-04-30T04:36:50.726872
SPERF-00000812,SUP-0028,2,2023,15,13,0.905,0.821,0.0274,57,83.09,2026-04-30T04:36:50.726872
SPERF-00000813,SUP-0028,3,2023,77,53,0.701,0.833,0.044,35,71.19,2026-04-30T04:36:50.726872
SPERF-00000814,SUP-0028,4,2023,77,65,0.849,0.894,0.0348,58,81.55,2026-04-30T04:36:50.726872
SPERF-00000815,SUP-0028,5,2023,80,60,0.756,0.854,0.0153,37,81.31,2026-04-30T04:36:50.726872
SPERF-00000816,SUP-0028,6,2023,34,30,0.898,0.938,0.0054,49,92.4,2026-04-30T04:36:50.726872
SPERF-00000817,SUP-0028,7,2023,40,35,0.88,0.81,0.0343,30,79.98,2026-04-30T04:36:50.726872
SPERF-00000818,SUP-0028,8,2023,22,16,0.763,0.885,0.0025,6,85.87,2026-04-30T04:36:50.726872
SPERF-00000819,SUP-0028,9,2023,26,19,0.742,0.872,0.0463,21,73.62,2026-04-30T04:36:50.726872
SPERF-00000820,SUP-0028,10,2023,30,26,0.895,0.86,0.0157,23,86.97,2026-04-30T04:36:50.726872
SPERF-00000821,SUP-0028,11,2023,17,12,0.719,0.823,0.0444,49,71.47,2026-04-30T04:36:50.726872
SPERF-00000822,SUP-0028,12,2023,43,35,0.831,0.914,0.0305,3,82.6,2026-04-30T04:36:50.726872
SPERF-00000823,SUP-0028,1,2024,49,38,0.789,0.846,0.0158,26,82.22,2026-04-30T04:36:50.726872
SPERF-00000824,SUP-0028,2,2024,30,28,0.955,0.905,0.0407,57,84.7,2026-04-30T04:36:50.726872
SPERF-00000825,SUP-0028,3,2024,77,56,0.733,0.948,0.0077,36,85.58,2026-04-30T04:36:50.726872
SPERF-00000826,SUP-0028,4,2024,14,9,0.704,0.951,0.0181,44,81.92,2026-04-30T04:36:50.726872
SPERF-00000827,SUP-0028,5,2024,9,8,0.934,0.836,0.0217,37,86.2,2026-04-30T04:36:50.726872
SPERF-00000828,SUP-0028,6,2024,48,33,0.7,0.973,0.0475,26,75.18,2026-04-30T04:36:50.726872
SPERF-00000829,SUP-0028,7,2024,36,28,0.783,0.866,0.0366,9,77.48,2026-04-30T04:36:50.726872
SPERF-00000830,SUP-0028,8,2024,16,14,0.918,0.9,0.0485,45,81.09,2026-04-30T04:36:50.726872
SPERF-00000831,SUP-0028,9,2024,49,42,0.871,0.933,0.0355,45,83.62,2026-04-30T04:36:50.726872
SPERF-00000832,SUP-0028,10,2024,9,7,0.825,0.923,0.0201,50,85.28,2026-04-30T04:36:50.726872
SPERF-00000833,SUP-0028,11,2024,31,24,0.783,0.818,0.0253,10,78.62,2026-04-30T04:36:50.726872
SPERF-00000834,SUP-0028,12,2024,39,36,0.948,0.826,0.0026,47,91.18,2026-04-30T04:36:50.726872
SPERF-00000835,SUP-0028,1,2025,46,44,0.957,0.805,0.0259,28,84.98,2026-04-30T04:36:50.726872
SPERF-00000836,SUP-0028,2,2025,49,41,0.851,0.895,0.0318,32,82.41,2026-04-30T04:36:50.726872
SPERF-00000837,SUP-0028,3,2025,48,43,0.903,0.965,0.0451,36,83.62,2026-04-30T04:36:50.726872
SPERF-00000838,SUP-0028,4,2025,30,29,0.977,0.97,0.0245,24,91.91,2026-04-30T04:36:50.726872
SPERF-00000839,SUP-0028,5,2025,72,52,0.736,0.985,0.014,27,85.41,2026-04-30T04:36:50.726872
SPERF-00000840,SUP-0028,6,2025,6,5,0.922,0.987,0.0425,54,85.8,2026-04-30T04:36:50.726872
SPERF-00000841,SUP-0029,1,2023,50,47,0.951,0.821,0.0389,54,82.05,2026-04-30T04:36:50.726872
SPERF-00000842,SUP-0029,2,2023,71,50,0.705,0.957,0.0241,58,80.67,2026-04-30T04:36:50.726872
SPERF-00000843,SUP-0029,3,2023,60,44,0.735,0.937,0.0337,30,78.77,2026-04-30T04:36:50.726872
SPERF-00000844,SUP-0029,4,2023,38,28,0.75,0.883,0.0142,58,82.36,2026-04-30T04:36:50.726872
SPERF-00000845,SUP-0029,5,2023,41,28,0.704,0.985,0.0059,24,86.16,2026-04-30T04:36:50.726872
SPERF-00000846,SUP-0029,6,2023,57,51,0.899,0.814,0.0169,5,85.22,2026-04-30T04:36:50.726872
SPERF-00000847,SUP-0029,7,2023,61,50,0.821,0.97,0.0367,9,82.61,2026-04-30T04:36:50.726872
SPERF-00000848,SUP-0029,8,2023,21,17,0.835,0.865,0.0145,51,85.05,2026-04-30T04:36:50.726872
SPERF-00000849,SUP-0029,9,2023,6,5,0.854,0.921,0.0124,19,88.29,2026-04-30T04:36:50.726872
SPERF-00000850,SUP-0029,10,2023,70,59,0.851,0.803,0.0083,51,85.07,2026-04-30T04:36:50.726872
SPERF-00000851,SUP-0029,11,2023,43,36,0.852,0.958,0.0172,39,88.31,2026-04-30T04:36:50.726872
SPERF-00000852,SUP-0029,12,2023,57,55,0.979,0.802,0.0494,58,79.88,2026-04-30T04:36:50.726872
SPERF-00000853,SUP-0029,1,2024,33,24,0.749,0.986,0.0151,28,85.69,2026-04-30T04:36:50.726872
SPERF-00000854,SUP-0029,2,2024,36,30,0.852,0.98,0.0044,34,92.28,2026-04-30T04:36:50.726872
SPERF-00000855,SUP-0029,3,2024,14,11,0.829,0.831,0.0294,52,79.89,2026-04-30T04:36:50.726872
SPERF-00000856,SUP-0029,4,2024,77,71,0.935,0.928,0.0213,46,89.56,2026-04-30T04:36:50.726872
SPERF-00000857,SUP-0029,5,2024,29,22,0.766,0.936,0.0426,12,77.75,2026-04-30T04:36:50.726872
SPERF-00000858,SUP-0029,6,2024,28,22,0.792,0.927,0.018,8,84.62,2026-04-30T04:36:50.726872
SPERF-00000859,SUP-0029,7,2024,77,57,0.748,0.803,0.0471,39,71.25,2026-04-30T04:36:50.726872
SPERF-00000860,SUP-0029,8,2024,67,59,0.892,0.912,0.0192,18,87.8,2026-04-30T04:36:50.726872
SPERF-00000861,SUP-0029,9,2024,13,9,0.743,0.918,0.0307,41,79.18,2026-04-30T04:36:50.726872
SPERF-00000862,SUP-0029,10,2024,15,14,0.977,0.849,0.044,56,82.8,2026-04-30T04:36:50.726872
SPERF-00000863,SUP-0029,11,2024,25,21,0.875,0.817,0.0196,35,83.69,2026-04-30T04:36:50.726872
SPERF-00000864,SUP-0029,12,2024,78,60,0.782,0.88,0.0415,45,76.7,2026-04-30T04:36:50.726872
SPERF-00000865,SUP-0029,1,2025,12,10,0.857,0.865,0.034,20,81.06,2026-04-30T04:36:50.726872
